TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,21/09/13
TIME,17:40:44
SPECTROMETER/DATA SYSTEM,
LOCALE,2057
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  300.0000
NPOINTS,    1201
FIRSTY,     0.00500
MAXY,     7.00000
MINY,    -0.00784
XYDATA
900.0000,0.00499504
899.5000,0.00574187
899.0000,0.0040778
898.5000,0.00342007
898.0000,0.00135133
897.5000,0.00899429
897.0000,0.00574245
896.5000,0.00570159
896.0000,-0.00216602
895.5000,0.0011907
895.0000,-0.00375225
894.5000,-0.000836319
894.0000,-0.00203341
893.5000,-0.00140055
893.0000,-0.000281716
892.5000,0.000314203
892.0000,0.00369961
891.5000,-4.67685E-005
891.0000,0.000577123
890.5000,-0.00258415
890.0000,0.00142111
889.5000,0.0084102
889.0000,0.0102716
888.5000,0.00750942
888.0000,0.00934159
887.5000,0.00856779
887.0000,0.00885355
886.5000,-0.000773142
886.0000,-0.00513989
885.5000,-0.00370373
885.0000,-0.0050362
884.5000,-0.00404331
884.0000,-0.000402949
883.5000,0.000104725
883.0000,0.00240866
882.5000,0.00649784
882.0000,0.00551575
881.5000,0.00667513
881.0000,0.00296691
880.5000,0.00983105
880.0000,0.00692843
879.5000,0.00379729
879.0000,-0.00593325
878.5000,-0.00233442
878.0000,-0.00126708
877.5000,0.00195748
877.0000,0.00177198
876.5000,-0.00296849
876.0000,0.00472288
875.5000,-0.00285638
875.0000,-0.00163764
874.5000,-0.00740566
874.0000,-0.00596762
873.5000,0.00253721
873.0000,0.00796174
872.5000,0.00650973
872.0000,0.00137741
871.5000,0.000807966
871.0000,-0.000282223
870.5000,0.00153411
870.0000,-0.00212192
869.5000,-0.000240224
869.0000,0.00319569
868.5000,0.006165
868.0000,0.00652223
867.5000,0.0074971
867.0000,0.00744024
866.5000,0.0125896
866.0000,0.0114581
865.5000,0.00446767
865.0000,0.00353059
864.5000,-0.00441828
864.0000,-0.00178585
863.5000,-0.00784347
863.0000,-0.00587598
862.5000,-0.000911911
862.0000,0.00305655
861.5000,0.0094771
861.0000,0.0133616
860.5000,0.00903985
860.0000,0.00668275
859.5000,0.000980905
859.0000,-0.0020908
858.5000,-0.00220477
858.0000,-0.00635228
857.5000,0.00617442
857.0000,0.0110916
856.5000,0.0136333
856.0000,0.0133198
855.5000,0.00479801
855.0000,0.0120951
854.5000,0.00566886
854.0000,0.00476465
853.5000,0.0120931
853.0000,0.0119742
852.5000,0.0135915
852.0000,0.00696685
851.5000,0.00445479
851.0000,-0.0037291
850.5000,-0.00313701
850.0000,0.00281592
849.5000,0.00273861
849.0000,0.00248111
848.5000,0.00339575
848.0000,0.00477538
847.5000,0.00500719
847.0000,0.00406292
