TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/05/13
TIME,11:39:18
SPECTROMETER/DATA SYSTEM,
LOCALE,2057
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  500.0000
LASTX,  200.0000
NPOINTS,     601
FIRSTY,     0.02202
MAXY,     7.00000
MINY,     0.02071
XYDATA
500.0000,0.022016
499.5000,0.0219846
499.0000,0.0219519
498.5000,0.0219908
498.0000,0.0219887
497.5000,0.0219731
497.0000,0.0219757
496.5000,0.0219484
496.0000,0.0218889
495.5000,0.0219094
495.0000,0.0218905
494.5000,0.0218855
494.0000,0.0218481
493.5000,0.0218285
493.0000,0.0217567
492.5000,0.0217145
492.0000,0.0217054
491.5000,0.0216743
491.0000,0.0216178
490.5000,0.0215776
490.0000,0.0215803
489.5000,0.0215464
489.0000,0.0215734
488.5000,0.0216219
488.0000,0.0216298
487.5000,0.0216065
487.0000,0.0216202
486.5000,0.0215941
486.0000,0.021585
485.5000,0.0215639
485.0000,0.0215571
484.5000,0.0215046
484.0000,0.0215062
483.5000,0.0215058
483.0000,0.0214902
482.5000,0.0214815
482.0000,0.021429
481.5000,0.0214289
481.0000,0.0214076
480.5000,0.0214368
480.0000,0.0213701
479.5000,0.021325
479.0000,0.0213188
478.5000,0.0212911
478.0000,0.0213117
477.5000,0.0213392
477.0000,0.0213281
476.5000,0.021278
476.0000,0.0212547
475.5000,0.0212726
475.0000,0.021263
474.5000,0.0212476
474.0000,0.0212991
473.5000,0.0212355
473.0000,0.0211907
472.5000,0.0211803
472.0000,0.0212034
471.5000,0.0211539
471.0000,0.0211395
470.5000,0.0211257
470.0000,0.0210569
469.5000,0.0210245
469.0000,0.0209965
468.5000,0.0210069
468.0000,0.0209806
467.5000,0.0209994
467.0000,0.0209705
466.5000,0.0209728
466.0000,0.0209516
465.5000,0.0209953
465.0000,0.0210482
464.5000,0.0209953
464.0000,0.0209979
463.5000,0.0209994
463.0000,0.0209958
462.5000,0.0209781
462.0000,0.0209653
461.5000,0.0209197
461.0000,0.0208589
460.5000,0.0208681
460.0000,0.0208321
459.5000,0.0208279
459.0000,0.0208314
458.5000,0.0208062
458.0000,0.020788
457.5000,0.0207779
457.0000,0.0207855
456.5000,0.0207863
456.0000,0.0207975
455.5000,0.0207867
455.0000,0.0207582
454.5000,0.0207643
454.0000,0.0207626
453.5000,0.0207125
453.0000,0.0207517
452.5000,0.0207448
452.0000,0.0207163
451.5000,0.0207182
451.0000,0.020744
450.5000,0.020759
450.0000,0.0207914
449.5000,0.0208773
449.0000,0.0208291
448.5000,0.0208353
448.0000,0.02084
447.5000,0.0208711
447.0000,0.0208918
446.5000,0.0208762
446.0000,0.0208876
445.5000,0.0208703
445.0000,0.0209387
