,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
115,,,,,,,0.350462,0.005562,0.178012,0.434539514,0.005561993,0.220050753
116,,,,,,,0.237134,0,0.118567,0.335880333,0,0.167940166
117,,,,,,,0.368002,0,0.184001,0.44980897,0,0.224904485
118,,,,,,,0.517168,0.483805,0.500486,0.579666395,0.421543681,0.500605038
119,,,,,,,0.495543,0.206588,0.351066,0.560841061,0.206588313,0.383714687
120,,,,,,,0.498733,0.139129,0.318931,0.563617798,0.120173808,0.341895803
121,,,,,,,0.358517,0.084092,0.221305,0.441551525,0.084092038,0.262821781
122,,,,,,,0.434528,0.067829,0.251178,0.507723148,0.061701182,0.284712165
123,,,,,,,0.244629,0.02573,0.13518,0.342405253,0.022824783,0.182615018
124,,,,,,,0.289174,0.002139,0.145657,0.381184563,0.002139228,0.191661895
125,,,,,,,0.229451,0.002139,0.115795,0.329191838,0.002139228,0.165665533
126,,,,,,,0.395285,0.097335,0.24631,0.473560262,0.097334878,0.28544757
127,,,,,,,0.447085,0.482593,0.464839,0.518655041,0.406858734,0.462756888
128,,,,,,,0.384548,0.106537,0.245542,0.46421279,0.098465644,0.281339217
129,,,,,,,0.26043,0.070721,0.165576,0.356161476,0.068669253,0.212415364
130,,,,,,,0.289717,0.002139,0.145928,0.381657207,0.002139228,0.191898218
131,,,,,,,0.469853,0.160901,0.315377,0.538476075,0.160238371,0.349357223
132,,,,,,,0.492752,0.07654,0.284646,0.558410897,0.076539914,0.317475406
133,,,,,,,0.450087,0.070658,0.260372,0.521268637,0.055946032,0.288607334
134,,,,,,,0.282841,0.002139,0.14249,0.3756714,0.002139228,0.188905314
135,,,,,,,0.357866,0.02058,0.189223,0.440984875,0.018735082,0.229859979
136,,,,,,,0.23404,0,0.11702,0.33318676,0,0.16659338
137,,,,,,,0.324113,0.046707,0.18541,0.411600949,0.043528229,0.227564589
138,,,,,,,0.251891,0.080976,0.166434,0.348727404,0.065037751,0.206882578
139,,,,,,,0.327328,0.125228,0.226278,0.414399361,0.109156061,0.261777711
140,,,,,,,0.228227,0.002139,0.115183,0.328126272,0.002139228,0.16513275
141,,,,,,,0.559298,0.276113,0.417706,0.616342948,0.276113226,0.446228087
142,,,,,,,0.33547,0.01794,0.176705,0.421487471,0.017940345,0.219713908
143,,,,,,,0.291443,0.013727,0.152585,0.383160006,0.013726714,0.19844336
144,,,,,,,,,,0.567542919,0,0.28377146
145,,,,,,,,,,0.788363804,0,0.394181902
146,,,,,,,,,,0.667555998,0,0.333777999
147,,,,,,,,,,0.630394392,0,0.315197196
148,,,,,,,,,,1,0,0.5
149,,,,,,,,,,0.852753188,0,0.426376594
150,,,,,,,,,,0.703101954,0,0.351550977
151,,,,,,,,,,1,0.119561327,0.559780664
152,,,,,,,,,,1,0.154323784,0.577161892
153,,,,,,,,,,0.683554778,0.287575795,0.485565287
154,,,,,,,,,,0.707277981,0,0.35363899
155,,,,,,,,,,0.504214271,0,0.252107135
156,,,,,,,,,,0.669279121,0,0.334639561
157,,,,,,,,,,0.904681314,0.187844724,0.546263019
158,,,,,,,,,,0.524581683,0,0.262290842
159,,,,,,,,,,0.62210246,0,0.31105123
160,,,,,,,,,,0.49055873,0,0.245279365
161,,,,,,,,,,0.846540601,0.225158375,0.535849488
162,,,,,,,,,,0,0,0
163,,,,,,,,,,0.4450905,0,0.22254525
164,,,,,,,,,,0.509304766,0,0.254652383
165,,,,,,,,,,0.445242403,0,0.222621201
166,,,,,,,,,,0.439429071,0,0.219714536
167,,,,,,,,,,0.544886803,0,0.272443402
168,,,,,,,,,,0.465662871,0,0.232831435
169,,,,,,,,,,0.453944268,0,0.226972134
170,,,,,,,,,,0.532867311,0,0.266433655
171,,,,,,,,,,0.589234202,0,0.294617101
172,,,,,,,,,,0.59680563,0,0.298402815
173,,,,,,,,,,0.428385229,0,0.214192615
174,,,,,,,,,,0.559073119,0,0.27953656
175,,,,,,,,,,0.674114372,0.55528389,0.614699131
176,,,,,,,,,,0.521451582,0,0.260725791
177,,,,,,,,,,0.511543862,0,0.255771931
178,,,,,,,,,,0.430403128,0,0.215201564
179,,,,,,,,,,0.258627249,0,0.129313625
180,,,,,,,,,,0.577646926,0,0.288823463
181,,,,,,,,,,1,0.150350931,0.575175466
182,,,,,,,,,,0.380073638,0,0.190036819
183,,,,,,,,,,0.662833323,0,0.331416661
184,,,,,,,,,,0.537035267,0,0.268517634
185,,,,,,,,,,0.636217321,0,0.31810866
186,,,,,,,,,,0.559106687,0,0.279553343
187,,,,,,,,,,0.914342494,0,0.457171247
188,,,,,,,,,,0.633871965,0,0.316935983
189,,,,,,,,,,0.471675921,0,0.235837961
190,,,,,,,,,,0.640738585,0,0.320369293
191,,,,,,,,,,0.732828582,0,0.366414291
