,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
111,,,,,,,1,0.06255,0.531275,1,0.041525402,0.520762701
112,,,,,,,0.488483,0,0.244242,0.48848343,0,0.244241715
113,,,,,,,1,0.027603,0.513802,1,0.025064011,0.512532006
114,,,,,,,1,0.036966,0.518483,1,0.03482472,0.51741236
115,,,,,,,1,1,1,1,1,1
116,,,,,,,1,0.01817,0.509085,1,0.01741753,0.508708765
117,,,,,,,1,0.012584,0.506292,1,0.012224519,0.506112259
118,,,,,,,1,0.063602,0.531801,1,0.053108551,0.526554275
119,,,,,,,1,0.244639,0.62232,1,0.242176504,0.621088252
120,,,,,,,1,0.163369,0.581685,1,0.161503928,0.580751964
121,,,,,,,1,0.012584,0.506292,1,0.012224519,0.506112259
122,,,,,,,1,0.032424,0.516212,1,0.030511744,0.515255872
123,,,,,,,1,0.641478,0.820739,1,0.640934926,0.820467463
124,,,,,,,1,0.108333,0.554166,1,0.108006943,0.554003472
125,,,,,,,1,0.387629,0.693815,1,0.387402323,0.693701162
126,,,,,,,1,0.026681,0.513341,1,0.026326548,0.513163274
127,,,,,,,1,0.021257,0.510629,1,0.019341495,0.509670748
128,,,,,,,1,0.028048,0.514024,1,0.025729081,0.512864541
129,,,,,,,1,0.030624,0.515312,1,0.028711243,0.514355621
130,,,,,,,1,0.02375,0.511875,1,0.023394767,0.511697384
131,,,,,,,1,0.036706,0.518353,1,0.029891228,0.514945614
132,,,,,,,1,0.012584,0.506292,1,0.012224519,0.506112259
133,,,,,,,0.888844,0.339939,0.614391,0.888843512,0.338518734,0.613681123
134,,,,,,,1,0.083415,0.541707,1,0.083080263,0.541540131
135,,,,,,,1,0.051476,0.525738,1,0.048559018,0.524279509
136,,,,,,,1,0.041614,0.520807,1,0.039299927,0.519649963
137,,,,,,,1,0.050626,0.525313,1,0.048490258,0.524245129
138,,,,,,,1,0.012366,0.506183,1,0.010819251,0.505409625
139,,,,,,,1,0.027327,0.513664,1,0.025008019,0.512504009
140,,,,,,,1,0.04435,0.522175,1,0.042211497,0.521105749
141,,,,,,,1,0.094635,0.547318,1,0.092109147,0.546054574
142,,,,,,,1,0.050626,0.525313,1,0.048490258,0.524245129
