,Co3O(OH),Co3O,Co4O4,T1,rT1,T2,rT2,V_TOT,strategy,AMF
59,0.475448048,0.091273103,0.771777195,MeOH,0.431997976,SA,0.485378109,6.982629313,,0.338753114
60,0,0,0.356389742,Ce,0.5,SA,0.5,3.75,,0.503209625
61,1,0,0.13670709,Yb,0,TMTACN,0.5,4.501129092,,0.258488977
62,0.276789728,0.972739031,0.075295194,Yb,0.45856018,TMTACN,0.493771988,4.433999587,,0.337221612
63,0.441011041,0,0.196370405,Yb,0.341052909,MeOH,0.043616297,4.398555429,,0.152698559
64,0.431503842,0,0.352814381,Yb,0.229244476,OA,0.207147415,6.938635424,,0.11503287
65,0.370971936,0.186954472,0.495039453,Yb,0.33412979,OA,0.045590606,6.878351695,,0.173316688
66,0.903813826,0.284313084,0.024560624,Ce,0.227788674,MeOH,0.17829215,7.16868086,,0.271568694
67,0.753149427,0.140775793,0.41121943,Yb,0.018883927,MeOH,0.46948214,6.930621859,,0.37946172
68,0.41676006,0.569550044,0.331344584,Yb,0.030582587,SA,0.323201139,4.436872739,,0.165782757
69,0.984040835,0.232703799,1,Yb,0.117522673,OA,0.5,4.796059425,,0.237109125
70,0.788348371,0.10809087,0.244887474,Yb,0.292224909,SA,0.45783641,5.63209604,,0.20096884
71,0.39253238,0.330601678,1,Yb,0.345011202,SA,0.5,4.724962555,,0.282716046
72,0.389354281,0.365237108,0.190468708,Yb,0.23176368,OA,0.333945235,5.233588185,,0.146902687
73,0.301971009,0.103270834,0.833150662,Ce,0.38121576,SA,0.410649026,6.556592579,,0.29009473
74,0,0.794260456,0.498845096,Yb,0.28236216,OA,0.46844493,4.498458023,,0.27928572
75,0.262804553,0.858573534,0.691596847,MeOH,0.344332231,OA,0.088007433,7.175657618,,0.28886501
76,0.80569946,0.063064949,0.327458242,MeOH,0.381155612,TMTACN,0.193122316,7.027840939,,0.243663795
77,0.355483519,0.084433432,0.541410277,Ce,0.431016251,TMTACN,0.412250325,6.49099407,,0.378269608
78,0,0.961409708,0.075777627,Yb,0.310069557,OA,0.323488576,6.448201544,,0.317156633
79,0.373943236,0.049819498,0.256074273,Yb,0.063830497,SA,0.463848961,4.010311688,,0.227903101
80,0.021967969,0.251956482,0.519028463,MeOH,0.052960987,OA,0.448503658,4.900510817,,0.406712591
81,0.513710163,0.031927694,0.971283332,Yb,0.042352079,OA,0.179583434,6.653970511,,0.389877646
82,0.169972443,0.1501281,0,Yb,0.006875611,SA,0.161688184,5.319402596,,0.315527504
83,0.18085509,0.084242784,0.045285007,Yb,0.461288034,SA,0.334717272,4.600676805,,0.454189515
84,0.209581711,0.994197787,0.376665908,Yb,0,MeOH,0.421427833,6.912665961,,0.261129605
85,0.246282877,0.283055524,0.415473044,Yb,0.197505155,OA,0.457821686,7.173286581,,0.133119518
86,0.056925923,0.005832416,0.664663947,Ce,0,TMTACN,0.5,6.842642731,,0.745599253
87,0.19923142,0.249308679,0.246555995,Yb,0.336879051,TMTACN,0.324778455,6.018764488,,0.270834672
88,0.098659206,0.643464893,0.160681291,Ce,0.041710896,MeOH,0.5,6.379900295,,0.268564195
89,0.824751171,0.119022832,0.081125862,MeOH,0.072257958,OA,0.163873082,5.433906949,,0.213515655
90,0.418485798,0.131281019,0.142241987,Yb,0.433945283,TMTACN,0.458982278,6.90124176,,0.365610055
91,0.417182529,0.756346526,0.232755329,MeOH,0.060445764,TMTACN,0.320860071,6.637528704,,0.219392298
92,0.420949866,0.736008342,0.656330116,Yb,0.072951148,TMTACN,0.323475167,5.909671252,,0.274089827
93,0.9714589,0.18829854,0.937083485,Dy,0.047461752,SA,0.5,5.709115856,,0.196572662
94,0.21933606,0.59184696,0.045259977,Dy,0.071151831,TMTACN,0.0002222,5.501876304,,0.124528459
95,0.184181601,0.093148427,0.759139631,Dy,0.079515864,TMTACN,0.5,6.183998362,,0.551377401
96,0.222479675,0.639499728,0.867906081,MeOH,0.120940497,OA,0.475963016,5.089142632,Random,0.151150514
97,0.092170261,0.570506994,0.49069129,MeOH,0.468276849,SA,0.399935453,6.156496939,Random,0.230948487
98,0.776887967,0.550487841,0.519091793,Yb,0.362499219,SA,0.020341496,7.266968146,Random,0.180683013
99,0.430921312,0.345437985,0.397515976,Dy,0.22095808,MeOH,0.286880985,5.435537152,Random,0.186365281
100,0.209535073,0.989726623,0.773635975,Ce,0.195617455,SA,0.325804546,6.079529172,Random,0.195404042
101,0.11164923,0.256213532,0.533399697,MeOH,0.22416069,OA,0.151663893,3.854754193,Random,0.186229053
102,0.377104798,0.068157004,0.04788048,MeOH,0.137939851,OA,0.257290185,7.493014589,Random,0.240744873
103,0.212561081,0.288806869,0.915190831,Ce,0.212274079,MeOH,0.406344928,5.619910166,Random,0.193335551
104,0.010350243,0.094287946,0.142740786,MeOH,0.258298342,MeOH,0.133773175,4.235282677,Random,0.237379133
105,0.480342773,0.375911823,0.607931662,MeOH,0.433912646,OA,0.193786341,6.690590024,Random,0.141806105
106,0.806299615,0.126143029,0.073738386,Dy,0.148941877,MeOH,0.354358317,5.320661056,Random,0.256901057
107,0.903430857,0.863213205,0.00111371,Yb,0.026932334,MeOH,0.048997077,5.75170442,Random,0.218373088
108,0.10721666,0.273815673,0.703071314,Ce,0.158739356,OA,0.464365703,5.769379127,Random,0.19106146
109,0.997159013,0.860512321,0.010379587,Ce,0.390174177,SA,0.442341432,5.925243752,Random,0.183904471
110,0.114938189,0.182085411,0.033036512,Dy,0.089819614,SA,0.122707911,6.621586544,Random,0.191823719
111,0.015603694,0.036492691,0.520857034,Ce,0.483456351,SA,0.345922476,7.334731408,Random,0.43404094
112,0.772682911,0.078303222,0.153619215,MeOH,0.427183751,SA,0.339850389,4.750783841,Random,0.175460879
113,0.067721434,0.927216764,0.338013696,MeOH,0.115291898,MeOH,0.381360217,7.223755874,Random,0.1929445
114,0.43922517,0.556342253,0.475013092,Yb,0.187747398,OA,0.478875377,5.700715302,Random,0.140169049
115,0.682241085,0.858791722,0.27016794,Yb,0.004757845,OA,0.028584271,6.56848514,Random,0.416148129
116,0.771140051,0.288594368,0.587643208,Dy,0.324416888,OA,0.050646396,6.982246871,Random,0.17216894
117,0.943389973,0.481974359,0.590631625,Dy,0.295466941,OA,0.064268239,4.21015184,Random,0.193795775
118,0.323906695,0.122920564,0.205757005,Dy,0.184722066,TMTACN,0.413452531,6.714318591,Random,0.423992193
119,0.55656656,0.141985394,0.288020495,Yb,0.465308475,SA,0.052310549,4.948750338,Random,0.366751246
120,0.640046722,0.19931198,0.619658412,Ce,0.119066292,TMTACN,0.325835787,5.528194144,Random,0.409462664
121,0.210767652,0.184769171,0.477125304,Yb,0.276731107,OA,0.100422716,3.875429591,Random,0.240469951
122,0.685319333,0.619780442,0.218373849,Dy,0.242060083,TMTACN,0.444003695,7.323068692,Random,0.250877523
123,0.306685623,0.502918366,0.752192761,MeOH,0.220286377,TMTACN,0.187473181,4.762318081,Random,0.324363196
124,0.263351837,0.525907051,0.779803744,Yb,0.184489856,OA,0.126160873,4.471100791,Random,0.166282362
125,0.550417892,0.7353459,0.367041527,Yb,0.091713003,OA,0.395443446,5.633067243,Random,0.221706997
126,0.288554052,0.953211265,0.04793112,Dy,0.405037203,OA,0.412062323,5.567408559,Random,0.201910195
127,0.077455942,0.991418972,0.323474751,Ce,0.350846974,TMTACN,0.442057232,6.592510174,Random,0.387637122
128,0.529740921,0.252914542,0.844953804,Yb,0.402235367,TMTACN,0.4962013,4.653629757,Random,0.225125022
129,0.710311903,0.167573802,0.887932758,Yb,0.412589193,TMTACN,0.312924353,5.533811849,Random,0.181837013
130,0.783786912,0.941807938,0.240432496,MeOH,0.49076833,OA,0.401671209,5.630503938,Random,0.138894881
131,0.050158434,0.445166608,0.066696374,Yb,0.457871932,TMTACN,0.096923051,6.518294346,Random,0.256466103
132,0.03226799,0.50269295,0.759730811,Dy,0.18363266,OA,0.402183641,4.170314109,Random,0.259160389
133,0.460325361,0.487081951,0.697781698,MeOH,0.233826247,TMTACN,0.48164579,5.06568717,Random,0.378940896
134,0.493865556,0.5003213,0.866122228,Yb,0.239789096,SA,0.254752986,6.781492281,Random,0.165918117
135,0.761532505,0.521640085,0.809537614,MeOH,0.47077206,TMTACN,0.202639967,5.504748489,Random,0.198960936
136,0.327178658,0.701113135,0.761018466,Ce,0.334705097,TMTACN,0.243473661,6.214866328,Random,0.133619348
137,0.265243671,0.876415453,0.249101305,MeOH,0.089849243,SA,0.492899003,4.439480543,Random,0.165818706
138,0.242732651,0.168900748,0.891363878,MeOH,0.440897878,TMTACN,0.24896039,7.181337201,Random,0.171064264
139,0.348160443,0.55738354,0.24019801,Dy,0.495902224,TMTACN,0.331063248,5.014024114,Random,0.200207983
140,0.338639349,0.710018965,0.3374436,Ce,0.243104532,SA,0.157068355,5.956923136,Random,0.129141853
141,0.017829361,0.939828512,0.03151521,Yb,0.334276105,OA,0.328403174,5.874701353,Random,0.365489007
142,0.612016542,0.653392334,0.982540154,MeOH,0.415792833,MeOH,0.141110232,5.093340744,Random,0.170928107
143,0.526107257,0.554283135,0.410555243,MeOH,0.362672223,OA,0.118536458,4.113372204,Random,0.18342522
