,V_Co3O(OH),V_Co3O,V_Co4O4,V_Ce,V_Dy,V_Yb,V_OA,V_SA,V_TMTACN,V_MeOH,AMF,AMF_rt,AMF_50,AMF_ST
CCE_2_0,0.00,0.00,1.88,0.00,0.00,0.94,0.00,0.00,0.94,3.75,0.70,0.49,0.52,0.77
CCE_2_1,1.25,0.00,3.25,0.00,0.00,1.37,0.00,0.00,0.00,1.63,0.39,0.36,0.27,0.53
CCE_2_2,0.00,0.99,4.29,0.00,0.00,0.00,0.00,0.00,1.49,0.73,0.56,0.40,0.63,0.53
CCE_2_3,1.45,0.00,0.00,0.00,0.00,2.89,0.00,0.00,3.15,0.00,0.24,0.15,0.20,0.59
CCE_2_4,0.00,0.00,1.62,0.00,0.00,0.00,0.00,0.00,3.56,2.31,0.58,0.49,0.50,0.64
CCE_2_5,3.02,0.81,0.94,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.42,0.25,0.45,0.58
CCE_2_6,0.00,1.62,0.00,0.00,1.58,0.00,0.00,0.00,0.56,3.75,0.35,0.19,0.62,0.00
CCE_2_7,0.50,1.12,3.04,0.00,0.00,0.00,0.00,0.00,1.54,1.31,0.42,0.32,0.46,0.51
CCE_2_8,0.96,0.00,3.17,0.00,0.00,0.00,0.00,1.02,0.00,2.35,0.68,0.74,0.32,0.39
CCE_2_9,0.52,0.66,1.60,0.00,0.00,1.29,0.00,0.00,1.91,1.52,0.34,0.27,0.38,0.50
CCE_2_10,0.81,0.83,2.97,0.00,0.00,0.12,0.00,0.00,0.00,2.77,0.66,0.46,0.63,0.51
CCE_2_11,1.47,0.28,2.39,0.00,0.00,0.00,0.00,1.50,0.00,1.85,0.37,0.23,0.31,0.64
CCE_2_12,0.00,0.00,0.99,1.38,0.00,0.00,0.00,1.38,0.00,3.75,0.54,0.43,0.65,0.28
CCE_2_13,2.75,0.00,0.38,0.00,0.00,0.00,0.00,0.00,1.38,3.00,0.29,0.23,0.23,0.60
CCE_2_14,0.54,1.89,0.15,0.00,0.00,0.89,0.00,0.00,0.96,3.07,0.36,0.27,0.34,0.56
CCE_2_15,1.90,0.00,0.85,0.00,0.00,1.47,0.00,0.00,0.00,3.29,0.20,0.18,0.21,0.51
