,Cr3O,Mn3O,Fe3O,Co3O,T1,rT1,T2,rT2,V_TOT,strategy,AMF
0,0.9895833333333333,0.3645833333333333,0.17708333333333331,0.44791666666666663,Ce,0.3177083333333333,OA,0.005208333333333333,6.2890625,LHS,0.10171567198967588
1,0.3020833333333333,0.46875,0.84375,0.9479166666666666,Yb,0.49479166666666663,SA,0.18229166666666666,6.5234375,LHS,0.1667780827444276
2,0.26041666666666663,0.5729166666666666,0.9479166666666666,0.6979166666666666,Yb,0.265625,SA,0.390625,7.1484375,LHS,0.0898808415121889
3,0.6354166666666666,0.3020833333333333,0.5520833333333333,0.3020833333333333,Yb,0.4427083333333333,SA,0.359375,5.2734375,LHS,0.16068489861877328
4,0.09375,0.5520833333333333,0.78125,0.9270833333333333,Ce,0.08854166666666666,TMTACN,0.4114583333333333,5.0390625,LHS,0.3042600130813826
5,0.19791666666666666,0.90625,0.96875,0.010416666666666666,Ce,0.09895833333333333,TMTACN,0.2552083333333333,3.8671875,LHS,0.48102153154985117
6,0.21875,0.28125,0.11458333333333333,0.84375,Dy,0.203125,TMTACN,0.057291666666666664,5.5078125,LHS,0.10187462205945647
7,0.8854166666666666,0.78125,0.34375,0.8020833333333333,Ce,0.16145833333333331,OA,0.08854166666666666,5.3515625,LHS,0.11225120840229506
8,0.34375,0.9479166666666666,0.38541666666666663,0.17708333333333331,Ce,0.33854166666666663,TMTACN,0.2864583333333333,6.0546875,LHS,0.639936404122219
9,0.5729166666666666,0.5104166666666666,0.8645833333333333,0.13541666666666666,Ce,0.36979166666666663,OA,0.328125,3.9453125,LHS,0.1418122014404697
10,0.07291666666666666,0.010416666666666666,0.8020833333333333,0.5520833333333333,Ce,0.015625,SA,0.15104166666666666,4.3359375,LHS,0.29599062782957386
11,0.9270833333333333,0.8020833333333333,0.9895833333333333,0.32291666666666663,Yb,0.06770833333333333,TMTACN,0.078125,4.1015625,LHS,0.18252086606974674
12,0.65625,0.34375,0.40625,0.7604166666666666,MeOH,0.46354166666666663,OA,0.4427083333333333,6.4453125,LHS,0.10672140045856678
13,0.6770833333333333,0.26041666666666663,0.23958333333333331,0.34375,Dy,0.27604166666666663,SA,0.4739583333333333,6.7578125,LHS,0.11975752042232313
14,0.05208333333333333,0.15625,0.21875,0.03125,Ce,0.078125,TMTACN,0.46354166666666663,5.6640625,LHS,0.831337197697871
15,0.71875,0.53125,0.7604166666666666,0.15625,MeOH,0.22395833333333331,SA,0.3802083333333333,4.7265625,LHS,0.17460587348974455
16,0.78125,0.9895833333333333,0.32291666666666663,0.4895833333333333,Ce,0.296875,SA,0.03645833333333333,6.1328125,LHS,0.27686116207707456
17,0.4895833333333333,0.96875,0.65625,0.4270833333333333,Yb,0.3802083333333333,MeOH,0.33854166666666663,7.3046875,LHS,0.11604061819607576
18,0.7395833333333333,0.4895833333333333,0.010416666666666666,0.40625,MeOH,0.005208333333333333,OA,0.21354166666666666,5.8984375,LHS,0.14956842530085285
19,0.03125,0.65625,0.8229166666666666,0.23958333333333331,Ce,0.15104166666666666,MeOH,0.203125,4.1796875,LHS,0.1948587785036701
20,0.010416666666666666,0.9270833333333333,0.19791666666666666,0.26041666666666663,Dy,0.4114583333333333,MeOH,0.046875,3.7890625,LHS,0.5
21,0.23958333333333331,0.09375,0.07291666666666666,0.6145833333333333,Dy,0.171875,TMTACN,0.026041666666666664,7.2265625,LHS,0.036790913421218326
22,0.7604166666666666,0.7395833333333333,0.6354166666666666,0.5729166666666666,Dy,0.026041666666666664,MeOH,0.265625,5.4296875,LHS,0.11073444985517991
23,0.17708333333333331,0.8229166666666666,0.71875,0.59375,Yb,0.046875,MeOH,0.13020833333333331,5.9765625,LHS,0.22262598065577627
24,0.32291666666666663,0.07291666666666666,0.05208333333333333,0.8229166666666666,Dy,0.40104166666666663,TMTACN,0.234375,4.5703125,LHS,0.28195459218934915
25,0.59375,0.21875,0.5104166666666666,0.90625,Dy,0.4739583333333333,TMTACN,0.140625,5.1171875,LHS,0.17445385210036557
26,0.8020833333333333,0.7604166666666666,0.15625,0.78125,Yb,0.359375,OA,0.09895833333333333,6.3671875,LHS,0.0978652805071186
27,0.3645833333333333,0.11458333333333333,0.4895833333333333,0.71875,Dy,0.2552083333333333,SA,0.30729166666666663,5.5859375,LHS,0.020487633253053864
28,0.90625,0.8645833333333333,0.8854166666666666,0.07291666666666666,Ce,0.390625,MeOH,0.3177083333333333,7.3828125,LHS,0.08118972734970241
29,0.5520833333333333,0.8854166666666666,0.46875,0.19791666666666666,Ce,0.43229166666666663,SA,0.16145833333333331,4.6484375,LHS,0.14926139379790795
30,0.40625,0.05208333333333333,0.5729166666666666,0.11458333333333333,Dy,0.453125,MeOH,0.40104166666666663,6.2109375,LHS,0.1307615234922366
31,0.13541666666666666,0.6354166666666666,0.13541666666666666,0.8645833333333333,Ce,0.421875,OA,0.296875,4.2578125,LHS,0.18153705989246885
32,0.96875,0.71875,0.6145833333333333,0.8854166666666666,Dy,0.19270833333333331,TMTACN,0.24479166666666666,6.8359375,LHS,0.20434999274101556
33,0.4270833333333333,0.6145833333333333,0.26041666666666663,0.21875,Yb,0.03645833333333333,OA,0.171875,6.9921875,LHS,0.0
34,0.84375,0.6979166666666666,0.7395833333333333,0.38541666666666663,Dy,0.13020833333333331,MeOH,0.484375,6.9140625,LHS,0.13332005966691024
35,0.15625,0.40625,0.44791666666666663,0.7395833333333333,Dy,0.057291666666666664,OA,0.06770833333333333,4.4140625,LHS,0.23205734476941017
