,Co3O(OH),Co3O,Co4O4,T1,rT1,T2,rT2,V_TOT,strategy,AMF
0,0.5520833333333333,0.96875,0.21875,Yb,0.19270833333333331,SA,0.2552083333333333,6.71875,LHS,0.07603040952904061
1,0.7604166666666666,0.19791666666666666,0.11458333333333333,Dy,0.203125,SA,0.203125,5.989583333333333,LHS,0.29320386963248163
2,0.21875,0.71875,0.3020833333333333,Ce,0.40104166666666663,TMTACN,0.171875,9.947916666666666,LHS,0.20939553573588143
3,0.90625,0.7395833333333333,0.71875,MeOH,0.16145833333333331,SA,0.09895833333333333,8.385416666666666,LHS,0.21469071723600652
4,0.8229166666666666,0.07291666666666666,0.3645833333333333,Yb,0.4427083333333333,MeOH,0.078125,8.489583333333332,LHS,0.49034475086531004
5,0.09375,0.8854166666666666,0.5104166666666666,MeOH,0.390625,TMTACN,0.265625,8.802083333333332,LHS,0.43847050495631834
6,0.8854166666666666,0.40625,0.59375,MeOH,0.33854166666666663,TMTACN,0.21354166666666666,6.40625,LHS,0.3419358184160866
7,0.5729166666666666,0.21875,0.7604166666666666,Ce,0.49479166666666663,MeOH,0.22395833333333331,5.260416666666667,LHS,0.5004434290742794
8,0.40625,0.34375,0.8229166666666666,MeOH,0.27604166666666663,SA,0.49479166666666663,7.96875,LHS,0.4547283680009262
9,0.8645833333333333,0.8020833333333333,0.5520833333333333,Ce,0.109375,OA,0.453125,7.760416666666666,LHS,0.17628224028743478
10,0.71875,0.53125,0.53125,Yb,0.24479166666666666,SA,0.359375,5.78125,LHS,0.1886380791512796
11,0.78125,0.4895833333333333,0.09375,Yb,0.140625,MeOH,0.3177083333333333,9.114583333333332,LHS,0.20654744452451013
12,0.8020833333333333,0.15625,0.4895833333333333,Ce,0.171875,SA,0.3489583333333333,7.135416666666666,LHS,0.3858626379380372
13,0.13541666666666666,0.6979166666666666,0.9479166666666666,Dy,0.359375,TMTACN,0.421875,5.46875,LHS,0.39911898193783485
14,0.53125,0.8645833333333333,0.7395833333333333,MeOH,0.15104166666666666,TMTACN,0.08854166666666666,9.635416666666666,LHS,0.6192760675061648
15,0.010416666666666666,0.90625,0.05208333333333333,MeOH,0.08854166666666666,MeOH,0.484375,5.572916666666667,LHS,0.3814274962836799
16,0.6354166666666666,0.3645833333333333,0.19791666666666666,Ce,0.328125,MeOH,0.33854166666666663,6.822916666666666,LHS,0.25411039314664874
17,0.17708333333333331,0.59375,0.65625,Yb,0.22395833333333331,TMTACN,0.234375,5.052083333333333,LHS,0.29466162354142417
18,0.9895833333333333,0.9895833333333333,0.78125,Yb,0.46354166666666663,OA,0.18229166666666666,8.59375,LHS,0.06937254181614641
19,0.03125,0.32291666666666663,0.5729166666666666,Ce,0.36979166666666663,SA,0.15104166666666666,6.614583333333333,LHS,0.5843884552832429
20,0.44791666666666663,0.6145833333333333,0.38541666666666663,Yb,0.2552083333333333,TMTACN,0.057291666666666664,9.322916666666666,LHS,0.12124176237136271
21,0.05208333333333333,0.3020833333333333,0.44791666666666663,Dy,0.18229166666666666,SA,0.4739583333333333,7.239583333333333,LHS,0.46303828153927085
22,0.11458333333333333,0.28125,0.03125,Yb,0.06770833333333333,TMTACN,0.328125,5.885416666666666,LHS,0.8103271605095266
23,0.3645833333333333,0.78125,0.90625,Ce,0.09895833333333333,MeOH,0.390625,5.677083333333333,LHS,0.20683930275098533
24,0.84375,0.5729166666666666,0.40625,Ce,0.296875,TMTACN,0.109375,7.864583333333333,LHS,0.2292402169858488
25,0.34375,0.46875,0.8854166666666666,Dy,0.234375,SA,0.43229166666666663,6.510416666666666,LHS,0.28035240710891157
26,0.26041666666666663,0.11458333333333333,0.34375,MeOH,0.265625,OA,0.046875,8.072916666666666,LHS,0.33116427303456136
27,0.65625,0.44791666666666663,0.17708333333333331,MeOH,0.4114583333333333,MeOH,0.03645833333333333,9.84375,LHS,0.11395096567242338
28,0.38541666666666663,0.03125,0.07291666666666666,MeOH,0.005208333333333333,OA,0.11979166666666666,5.15625,LHS,0.3435667375081712
29,0.59375,0.4270833333333333,0.010416666666666666,MeOH,0.11979166666666666,TMTACN,0.2864583333333333,7.447916666666666,LHS,0.4189612789755306
30,0.3020833333333333,0.8229166666666666,0.26041666666666663,Ce,0.015625,MeOH,0.3802083333333333,5.364583333333333,LHS,0.1701383844469353
31,0.28125,0.010416666666666666,0.13541666666666666,Yb,0.13020833333333331,TMTACN,0.015625,7.03125,LHS,0.5049505994645196
32,0.32291666666666663,0.6354166666666666,0.96875,Yb,0.078125,MeOH,0.16145833333333331,6.302083333333333,LHS,0.1569622625921938
33,0.6979166666666666,0.38541666666666663,0.6354166666666666,Dy,0.21354166666666666,SA,0.06770833333333333,6.197916666666666,LHS,0.2317500499181299
34,0.19791666666666666,0.13541666666666666,0.8645833333333333,Yb,0.046875,SA,0.46354166666666663,9.21875,LHS,0.813220551967085
35,0.4895833333333333,0.05208333333333333,0.23958333333333331,MeOH,0.4739583333333333,TMTACN,0.19270833333333331,9.427083333333332,LHS,0.5838665499690094
36,0.46875,0.5520833333333333,0.15625,Dy,0.484375,MeOH,0.4427083333333333,9.739583333333332,LHS,0.4812365281184582
37,0.07291666666666666,0.7604166666666666,0.8020833333333333,Ce,0.3802083333333333,OA,0.005208333333333333,7.34375,LHS,0.537749992888108
38,0.96875,0.26041666666666663,0.4270833333333333,Yb,0.43229166666666663,SA,0.140625,9.53125,LHS,0.251818541077054
39,0.9479166666666666,0.9479166666666666,0.9895833333333333,Yb,0.03645833333333333,TMTACN,0.296875,8.90625,LHS,0.44234376692684785
