,Cr3O,Mn3O,Fe3O,Co3O,T1,rT1,T2,rT2,V_TOT
0,0.0,0.0,0.0,0.0,Yb,0.0,MeOH,0.5,3.75
1,0.0,1.0,0.6954459962326959,0.0,Ce,0.10929480456750726,TMTACN,0.2982639654855485,5.467070892680439
2,0.04666908287651867,0.6291657651111211,0.26390046822912827,0.36594354529368284,Ce,0.16175536681767475,SA,0.3399344834453482,6.1457668318774665
3,0.023795988702561437,0.8950990820828768,0.20504326340273002,0.0,Ce,0.4479873829576592,OA,0.2368264825306365,7.435222105938356
4,0.032972970758871144,0.4145790337858072,0.22119947946607535,0.04047034073199668,MeOH,0.21196408441622577,OA,0.39856862027339945,5.030745603842681
5,0.06090313879380521,0.13378701376431504,0.06917442423621913,0.0,Dy,0.030449447489789134,TMTACN,0.04032682597969969,5.542031486173784
6,0.016509512926342944,0.8360720490745801,0.795479679542995,0.33417312507765234,MeOH,0.4083621560785826,MeOH,0.04883703404069405,3.7940134924460853
7,0.28167409161165474,0.9024129215420906,0.28666993092229476,0.5539644813843972,Yb,0.23209713103227916,TMTACN,0.5,5.118203199866117
8,0.2844646711616517,0.3158167832146297,0.033277168070724575,0.0,Ce,0.20043607187514917,TMTACN,0.4443465870647884,6.647733607198979
9,0.0,0.5843242135124334,0.0206450323193005,0.0,Ce,0.3593817210310912,TMTACN,0.4921416431186418,5.911184595479286
10,0.060825790672195464,0.14028935389245645,0.06645806509818858,0.032027907289713005,MeOH,0.20521501752878976,TMTACN,0.2656253453870834,7.043787315539236
11,0.5942363656699846,0.804195249078128,0.0015713659712599506,0.0,Dy,0.08340963721834782,TMTACN,0.07423106937152339,6.2878068641872265
12,0.1074127044564442,0.032796457804073836,0.32968508649459083,0.3275747014986271,Dy,0.06119716497164202,TMTACN,0.5,5.556435944438956
13,0.026875659131399703,0.025762485511655824,0.10339932833221938,0.30159354480796524,Ce,0.40692581422811497,TMTACN,0.3568789371489831,3.75
14,0.4157823086361031,0.5205069106527123,0.443004287865056,0.0,Ce,0.07762111963084038,TMTACN,0.28530439751674,4.1047878937284
15,0.05826554116448414,0.38616907553519025,0.2632993154205531,0.0,Dy,0.020878993034155996,SA,0.2881137880568551,5.869437053602235
16,0.05703990136515404,0.9429754707621343,0.20200213055136237,0.6881838061020873,Ce,0.21900976680467765,OA,0.48180979931668444,4.009204885966304
17,0.0,0.0,0.7641919743597114,0.0,Ce,0.0,TMTACN,0.10554318983164036,4.76218203158297
18,0.05748262220131521,0.4880014092503979,0.2043641792085413,0.0,Yb,0.13961621333854177,OA,0.3685321709677339,7.417081483664903
19,0.04565185973574977,0.7132310142691702,0.28889770904578366,0.025675548609226904,Dy,0.3762081475825531,TMTACN,0.44218643262034774,6.468165181412537
20,0.0,0.61941296001851,0.1966795522800966,0.512155639286058,Dy,0.1963997700200275,TMTACN,0.03107707674260061,6.29520603776626
21,0.049523419681555124,0.06497752581828548,0.24471004432947466,0.13923337477408856,Dy,0.09926310229659949,SA,0.17975185106770633,6.956747170617308
22,0.05201588615510916,0.1907783210408588,0.22369605345558574,0.44127826395668235,Dy,0.16768754267935795,OA,0.4546527664023234,5.578126704692612
23,0.0596044250354008,0.16593925058425535,0.22069690708140982,0.0,Dy,0.4768073414647881,OA,0.43389153962256943,6.624256555416762
24,0.05875855044651118,0.8613056523092969,0.19954139558623846,0.03361312668003487,Dy,0.3970790233428513,OA,0.4200300066248562,5.568767293744145
25,0.01409404949411202,0.9470952104873402,0.38201447746295975,0.9858092788148433,Ce,0.3346194460544564,TMTACN,0.2834311629777899,4.104061710818953
26,0.29461373681535713,0.9566026855907857,0.5383289616986049,0.03911405489424496,Dy,0.2673356214847917,OA,0.4734708366222054,5.482658938308698
27,0.08400816749787238,0.9098159569024176,0.31718763731202687,0.18137341193521614,Ce,0.33626541958490275,OA,0.2828735198514223,4.39737861627235
28,0.8753037134740473,0.42727880230293064,0.36426646874040247,0.1795851254494488,MeOH,0.33640570698819217,TMTACN,0.2904066161247004,6.1151831256449105
29,0.9142595730873178,0.683835814379236,0.38929007974346497,0.32227460091553833,Ce,0.2188047443921109,TMTACN,0.28850597522026683,6.767993414222396
30,0.2741702318132469,0.9479090974063459,0.3854029452978419,0.2622858940295619,MeOH,0.33852806664811064,SA,0.2864566840309346,3.8240712670655754
31,0.8363535493653983,0.21274139361695182,0.7503782105214066,0.5567484251936448,Dy,0.20048453432073088,SA,0.4507746230370812,3.7835360947606125
32,0.05299018092404065,0.1557020388463985,0.36537161847615746,0.6271361687028956,Ce,0.0810357201678811,TMTACN,0.4601622196459424,5.678135479677714
33,0.0448293683749298,0.1578889964039019,0.34832301445395936,0.040949449743970946,MeOH,0.0768119420442518,TMTACN,0.4762913185130795,5.650358530688063
34,0.08419330705808649,0.9710916211938881,0.36772063864178667,0.3060514788339353,Dy,0.4319430493255811,TMTACN,0.09170133885177596,3.8276803021429533
35,0.9137763547037795,0.7701569650586838,0.14822882575293275,0.9757925312992699,Dy,0.20282341361143458,SA,0.18082504614261866,6.936833601769739
36,0.12906975873973417,0.636211548325758,0.7700891138253718,0.8705832950263401,Ce,0.04484006556018822,OA,0.4381938353156811,5.234245869705326
37,0.6481720850953429,0.9101923279600211,0.28327517933195107,0.35219960374720855,Ce,0.26435788472549604,SA,0.05590638805737509,5.400673206552639
38,0.6833083643476867,0.3523326567624541,0.5613344694606629,0.1603255849446549,Dy,0.48669282144810155,OA,0.06705157661987667,4.696180041608328
