Reaction ID,pump1,pump2,pump3,pump4,pump5,pump6,pump7,pump8,pump9,pump10,pump11
prime1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prime2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISE_1_0,2.7,1.0,0.48,1.22,0.87,0.0,0.0,0.01,0.0,0.0,1.21
ISE_1_1,0.61,0.94,1.7,1.91,0.0,0.0,1.0,0.0,0.37,0.0,0.98
ISE_1_2,0.59,1.31,2.16,1.59,0.0,0.0,0.61,0.0,0.89,0.0,0.35
ISE_1_3,1.29,0.61,1.12,0.61,0.0,0.0,0.9,0.0,0.73,0.0,2.23
ISE_1_4,0.17,0.97,1.38,1.64,0.16,0.0,0.0,0.0,0.0,0.73,2.46
ISE_1_5,0.31,1.44,1.54,0.02,0.16,0.0,0.0,0.0,0.0,0.4,3.63
ISE_1_6,0.7,0.9,0.37,2.7,0.0,0.65,0.0,0.0,0.0,0.18,1.99
ISE_1_7,1.55,1.37,0.6,1.4,0.28,0.0,0.0,0.15,0.0,0.0,2.15
ISE_1_8,0.84,2.32,0.94,0.43,0.83,0.0,0.0,0.0,0.0,0.7,1.45
ISE_1_9,0.81,0.72,1.23,0.19,0.52,0.0,0.0,0.47,0.0,0.0,3.55
ISE_1_10,0.2,0.03,2.17,1.49,0.04,0.0,0.0,0.0,0.41,0.0,3.16
ISE_1_11,1.19,1.03,1.27,0.42,0.0,0.0,0.09,0.0,0.0,0.1,3.4
ISE_1_12,1.38,0.72,0.85,1.59,0.0,0.0,0.0,0.93,0.0,0.0,2.03
ISE_1_13,2.01,0.77,0.71,1.02,0.0,0.82,0.0,0.0,1.41,0.0,0.74
ISE_1_14,0.3,0.89,1.24,0.18,0.44,0.0,0.0,0.0,0.0,2.63,1.84
ISE_1_15,1.23,0.91,1.3,0.27,0.0,0.0,0.0,0.0,0.65,0.0,3.16
ISE_1_16,1.64,2.08,0.68,1.03,0.62,0.0,0.0,0.0,0.08,0.0,1.37
ISE_1_17,1.1,2.17,1.47,0.96,0.0,0.0,0.85,0.0,0.0,0.0,0.95
ISE_1_18,2.34,1.55,0.03,1.29,0.0,0.0,0.0,0.68,0.0,0.0,1.62
ISE_1_19,0.06,1.3,1.63,0.48,0.3,0.0,0.0,0.0,0.0,0.0,3.72
ISE_1_20,0.02,1.89,0.4,0.53,0.0,0.84,0.0,0.0,0.0,0.0,3.81
ISE_1_21,1.42,0.56,0.43,3.64,0.0,1.02,0.0,0.0,0.0,0.15,0.27
ISE_1_22,1.38,1.34,1.15,1.04,0.0,0.05,0.0,0.0,0.0,0.0,2.55
ISE_1_23,0.43,1.98,1.73,1.43,0.0,0.0,0.11,0.0,0.0,0.0,1.84
ISE_1_24,0.77,0.17,0.12,1.97,0.0,0.96,0.0,0.0,0.0,0.56,2.93
ISE_1_25,1.07,0.39,0.92,1.63,0.0,0.85,0.0,0.0,0.0,0.25,2.38
ISE_1_26,1.73,1.64,0.34,1.68,0.0,0.0,0.77,0.21,0.0,0.0,1.13
ISE_1_27,0.91,0.28,1.22,1.78,0.0,0.63,0.0,0.0,0.76,0.0,1.91
ISE_1_28,1.95,1.86,1.9,0.16,0.84,0.0,0.0,0.0,0.0,0.0,0.8
ISE_1_29,0.95,1.53,0.81,0.34,0.74,0.0,0.0,0.0,0.28,0.0,2.85
ISE_1_30,1.26,0.16,1.78,0.36,0.0,1.41,0.0,0.0,0.0,0.0,2.53
ISE_1_31,0.23,1.09,0.23,1.48,0.72,0.0,0.0,0.51,0.0,0.0,3.24
ISE_1_32,1.83,1.36,1.16,1.67,0.0,0.36,0.0,0.0,0.0,0.46,0.66
ISE_1_33,1.73,2.49,1.05,0.88,0.0,0.0,0.15,0.7,0.0,0.0,0.51
ISE_1_34,1.78,1.47,1.56,0.81,0.0,0.27,0.0,0.0,0.0,0.0,1.61
ISE_1_35,0.37,0.96,1.05,1.74,0.0,0.13,0.0,0.16,0.0,0.0,3.09
ISE_1_36,1.54,0.33,0.06,0.96,0.34,0.0,0.0,0.0,0.79,0.0,3.48
ISE_1_37,0.8,0.58,1.25,1.18,0.0,0.51,0.0,0.0,0.63,0.0,2.54
ISE_1_38,0.72,1.74,0.24,1.64,0.0,0.0,0.0,0.0,1.17,0.0,1.99
ISE_1_39,1.25,1.05,0.69,2.43,0.58,0.0,0.0,0.0,0.0,0.0,1.5
ISE_1_40,1.7,1.16,1.16,0.1,0.0,0.64,0.0,0.0,0.0,0.97,1.76
ISE_1_41,1.73,0.08,1.32,2.4,0.0,0.0,0.0,0.0,0.0,0.55,1.43
ISE_1_42,0.81,0.5,1.9,1.11,0.0,0.0,0.0,0.25,0.0,0.0,2.92
ISE_1_43,1.16,0.49,1.05,1.16,0.0,0.0,0.86,0.0,0.0,0.0,2.78
ISE_1_44,1.32,0.34,0.75,1.68,0.0,0.0,0.76,0.0,0.0,0.0,2.66
ISE_1_45,1.06,0.66,1.59,0.16,0.0,0.83,0.0,0.0,0.19,0.0,3.01
ISE_1_46,2.56,1.21,0.99,0.76,0.38,0.0,0.0,0.0,0.0,1.17,0.43
ISE_1_47,0.33,2.41,1.93,1.04,0.7,0.0,0.0,0.0,0.0,0.0,1.09
