,Co3O(OH),Co3O,Co4O4,T1,rT1,T2,rT2,V_TOT,strategy,AMF
0,0.552083333,0.96875,0.21875,Yb,0.192708333,SA,0.255208333,5.039063,LHS,0.102404869
1,0.760416667,0.197916667,0.114583333,Dy,0.203125,SA,0.203125,4.492187,LHS,0.174828432
2,0.21875,0.71875,0.302083333,Ce,0.401041667,TMTACN,0.171875,7.460938,LHS,0.166066967
3,0.90625,0.739583333,0.71875,MeOH,0.161458333,SA,0.098958333,6.289063,LHS,0.148114999
4,0.822916667,0.072916667,0.364583333,Yb,0.442708333,MeOH,0.078125,6.367187,LHS,0.148433252
5,0.09375,0.885416667,0.510416667,MeOH,0.390625,TMTACN,0.265625,6.601562,LHS,0.267252141
6,0.885416667,0.40625,0.59375,MeOH,0.338541667,TMTACN,0.213541667,4.804688,LHS,0.130045474
7,0.572916667,0.21875,0.760416667,Ce,0.494791667,MeOH,0.223958333,3.945313,LHS,0.173143264
8,0.40625,0.34375,0.822916667,MeOH,0.276041667,SA,0.494791667,5.976563,LHS,0.164866234
9,0.864583333,0.802083333,0.552083333,Ce,0.109375,OA,0.453125,5.820313,LHS,0.100924419
10,0.71875,0.53125,0.53125,Yb,0.244791667,SA,0.359375,4.335938,LHS,0.091516541
11,0.78125,0.489583333,0.09375,Yb,0.140625,MeOH,0.317708333,6.835937,LHS,0.15813001
12,0.802083333,0.15625,0.489583333,Ce,0.171875,SA,0.348958333,5.351563,LHS,0.150051874
13,0.135416667,0.697916667,0.947916667,Dy,0.359375,TMTACN,0.421875,4.101563,LHS,0.211780145
14,0.53125,0.864583333,0.739583333,MeOH,0.151041667,TMTACN,0.088541667,7.226563,LHS,0.391518191
15,0.010416667,0.90625,0.052083333,MeOH,0.088541667,MeOH,0.484375,4.179688,LHS,0.289134258
16,0.635416667,0.364583333,0.197916667,Ce,0.328125,MeOH,0.338541667,5.117188,LHS,0.133154757
