,Co3O(OH),Co3O,Co3O Degradation,Co4O4,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
56,50.735851308371664,0.0,0.0,86.85578816989798,68.79581973913483,0.4860227085709064,8.708242629244326,1.0,0.7430113542854532
187,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.5
157,30.06455229342765,77.77164064888316,97.26094123942389,83.55825817860301,67.04636713872806,0.4572067325855233,4.6809995909752296,0.5375366523729291,0.4973716924792262
48,0.0,0.0,0.0,98.688069,98.688069,0.97839062791316,0.0,0.0,0.48919531395658
52,0.0,0.0,0.0,98.59442517514643,98.59442517514643,0.9768481807456675,0.0,0.0,0.48842409037283374
86,100.0,100.0,100.0,93.16891100000001,97.72297033333332,0.9624940783320363,0.0811250805931657,0.009315895760727728,0.485904987046382
58,51.20691723866053,100.0,27.444022475774343,93.0328172114009,69.32058189598287,0.4946662886863408,3.6945771280788264,0.4242620796613507,0.45946418417384577
152,100.0,56.286897020295214,76.92828119711139,100.0,88.86919636956777,0.8166598111672344,0.783777368753007,0.09000408028606119,0.4533319457266478
162,0.0,0.0,0.0,77.45666979539756,77.45666979539756,0.628679244207392,2.227773526709697,0.2558235480518549,0.44225139612962344
164,31.178824244240843,98.57728675,100.0,100.0,76.82248920641361,0.618233386675551,2.306746031746032,0.2648922555280484,0.44156282110179973
151,100.0,76.90590184926482,100.0,75.15802201287104,87.87032431250115,0.8002069657444951,0.6138427282301312,0.07048985132415844,0.43534840853432677
60,0.0,0.0,0.0,92.10151611071552,92.10151611071552,0.8699007209331443,0.0,0.0,0.43495036046657215
144,0.0,0.0,0.0,83.49311482366343,83.49311482366343,0.7281080912256821,1.1595238095238094,0.13315244635351062,0.43063026878959637
148,0.0,68.20870255446597,83.959636852759,100.0,88.04208485180624,0.8030361064566818,0.41967150782940255,0.048192445444738406,0.4256142759507101
149,0.0,0.0,0.0,89.383121,89.383121,0.8251248817872607,0.0,0.0,0.41256244089363037
83,62.3876678711275,100.0,27.286877244904723,100.0,75.34370216452662,0.5938756579342276,2.0,0.2296674639362401,0.4117715609352338
111,81.56761528732903,56.20943312342805,86.24582132824071,88.53567011156304,80.44363754157548,0.6778788571737359,1.226190476190476,0.14080802848471863,0.40934344282922724
67,27.183947858128914,100.0,26.917348148838784,78.36705310347591,56.336558345341395,0.2808009283205102,4.681741762061204,0.5376218786484904,0.4092114034845003
172,91.20426625017265,62.033922509440686,65.72093567110451,83.43792542372881,79.5065402547247,0.662443530199126,1.280083918813427,0.14699681362972183,0.40472017191442394
50,0.0,100.0,66.17989868447889,91.38030867304144,87.23512900764044,0.7897443943969555,0.15307579070177055,0.017578264320255162,0.4036613293586053
95,61.668838915622196,100.0,72.21439214058296,58.24126610725235,68.672433697722,0.48399036473635104,2.496561286362152,0.2866894496000964,0.38533990716822375
14,85.06271323644148,100.0,39.95002267663946,100.0,85.01257485825374,0.7531357620853116,0.059250585480093675,0.006803965851975262,0.37996986396864346
175,57.619844368330604,36.388454980337,60.550094617424904,100.0,68.69637305573718,0.48438468005847557,2.3546107020863403,0.27038873425264975,0.37738670715556266
146,0.0,76.33784972310687,85.48688007662201,61.62294880938652,71.26765685462549,0.5267373863753785,1.8775862489980573,0.21561023606447083,0.37117381121992465
19,75.5422249204489,100.0,33.018405430279685,66.71811554346485,69.5898477263512,0.499101480414184,2.059423314780457,0.23649126493839634,0.3677963726762902
81,71.88708185830079,100.0,29.457574704990698,70.14534750974923,68.92040557351513,0.4880748147044403,2.0787470122487104,0.23871027723409877,0.3633925459692695
78,0.0,100.0,29.544021807051102,100.0,82.38600545176277,0.7098724230707036,0.1361111111111111,0.015630146851216338,0.36275128496096
