,Cr3O,Mn3O,Fe3O,Co3O,T1,rT1,T2,rT2,V_TOT,strategy,AMF
0,0.9895833333333331,0.3645833333333333,0.1770833333333333,0.4479166666666666,Ce,0.3177083333333333,OA,0.0052083333333333,6.2890625,LHS,0.09210533423528852
1,0.3020833333333333,0.46875,0.84375,0.9479166666666666,Yb,0.4947916666666666,SA,0.1822916666666666,6.5234375,LHS,0.2114737414201077
2,0.2604166666666666,0.5729166666666666,0.9479166666666666,0.6979166666666666,Yb,0.265625,SA,0.390625,7.1484375,LHS,0.21141876307654087
3,0.6354166666666666,0.3020833333333333,0.5520833333333333,0.3020833333333333,Yb,0.4427083333333333,SA,0.359375,5.2734375,LHS,0.14174941299709987
4,0.09375,0.5520833333333333,0.78125,0.9270833333333331,Ce,0.0885416666666666,TMTACN,0.4114583333333333,5.0390625,LHS,0.36757154204954273
5,0.1979166666666666,0.90625,0.96875,0.0104166666666666,Ce,0.0989583333333333,TMTACN,0.2552083333333333,3.8671875,LHS,0.35315322430503104
6,0.21875,0.28125,0.1145833333333333,0.84375,Dy,0.203125,TMTACN,0.0572916666666666,5.5078125,LHS,0.2304809282294317
7,0.8854166666666666,0.78125,0.34375,0.8020833333333333,Ce,0.1614583333333333,OA,0.0885416666666666,5.3515625,LHS,0.13401246167100808
8,0.34375,0.9479166666666666,0.3854166666666666,0.1770833333333333,Ce,0.3385416666666666,TMTACN,0.2864583333333333,6.0546875,LHS,0.5858552330994382
9,0.5729166666666666,0.5104166666666666,0.8645833333333333,0.1354166666666666,Ce,0.3697916666666666,OA,0.328125,3.9453125,LHS,0.08311675394842069
10,0.0729166666666666,0.0104166666666666,0.8020833333333333,0.5520833333333333,Ce,0.015625,SA,0.1510416666666666,4.3359375,LHS,0.3865512823378658
11,0.9270833333333331,0.8020833333333333,0.9895833333333331,0.3229166666666666,Yb,0.0677083333333333,TMTACN,0.078125,4.1015625,LHS,0.13548922865577592
12,0.65625,0.34375,0.40625,0.7604166666666666,MeOH,0.4635416666666666,OA,0.4427083333333333,6.4453125,LHS,0.13225761833090602
13,0.6770833333333333,0.2604166666666666,0.2395833333333333,0.34375,Dy,0.2760416666666666,SA,0.4739583333333333,6.7578125,LHS,0.11728758314796045
14,0.0520833333333333,0.15625,0.21875,0.03125,Ce,0.078125,TMTACN,0.4635416666666666,5.6640625,LHS,0.7478667032924149
15,0.71875,0.53125,0.7604166666666666,0.15625,MeOH,0.2239583333333333,SA,0.3802083333333333,4.7265625,LHS,0.14012507262604249
16,0.78125,0.9895833333333331,0.3229166666666666,0.4895833333333333,Ce,0.296875,SA,0.0364583333333333,6.1328125,LHS,0.28223049530002275
17,0.4895833333333333,0.96875,0.65625,0.4270833333333333,Yb,0.3802083333333333,MeOH,0.3385416666666666,7.3046875,LHS,0.12307798497129677
18,0.7395833333333333,0.4895833333333333,0.0104166666666666,0.40625,MeOH,0.0052083333333333,OA,0.2135416666666666,5.8984375,LHS,0.11708329046063432
19,0.03125,0.65625,0.8229166666666666,0.2395833333333333,Ce,0.1510416666666666,MeOH,0.203125,4.1796875,LHS,0.29743710909481275
20,0.0104166666666666,0.9270833333333331,0.1979166666666666,0.2604166666666666,Dy,0.4114583333333333,MeOH,0.046875,3.7890625,LHS,0.5
21,0.2395833333333333,0.09375,0.0729166666666666,0.6145833333333333,Dy,0.171875,TMTACN,0.0260416666666666,7.2265625,LHS,0.133051092128238
22,0.7604166666666666,0.7395833333333333,0.6354166666666666,0.5729166666666666,Dy,0.0260416666666666,MeOH,0.265625,5.4296875,LHS,0.13199188951620022
23,0.1770833333333333,0.8229166666666666,0.71875,0.59375,Yb,0.046875,MeOH,0.1302083333333333,5.9765625,LHS,0.3025305444371819
24,0.3229166666666666,0.0729166666666666,0.0520833333333333,0.8229166666666666,Dy,0.4010416666666666,TMTACN,0.234375,4.5703125,LHS,0.3533488477143565
25,0.59375,0.21875,0.5104166666666666,0.90625,Dy,0.4739583333333333,TMTACN,0.140625,5.1171875,LHS,0.2143650591959951
26,0.8020833333333333,0.7604166666666666,0.15625,0.78125,Yb,0.359375,OA,0.0989583333333333,6.3671875,LHS,0.133129405389214
27,0.3645833333333333,0.1145833333333333,0.4895833333333333,0.71875,Dy,0.2552083333333333,SA,0.3072916666666666,5.5859375,LHS,0.14090263707895473
28,0.90625,0.8645833333333333,0.8854166666666666,0.0729166666666666,Ce,0.390625,MeOH,0.3177083333333333,7.3828125,LHS,0.005163886330103198
29,0.5520833333333333,0.8854166666666666,0.46875,0.1979166666666666,Ce,0.4322916666666666,SA,0.1614583333333333,4.6484375,LHS,0.08902169667008658
30,0.40625,0.0520833333333333,0.5729166666666666,0.1145833333333333,Dy,0.453125,MeOH,0.4010416666666666,6.2109375,LHS,0.06599797857825163
31,0.1354166666666666,0.6354166666666666,0.1354166666666666,0.8645833333333333,Ce,0.421875,OA,0.296875,4.2578125,LHS,0.23526798503242405
32,0.96875,0.71875,0.6145833333333333,0.8854166666666666,Dy,0.1927083333333333,TMTACN,0.2447916666666666,6.8359375,LHS,0.24106540704844737
33,0.4270833333333333,0.6145833333333333,0.2604166666666666,0.21875,Yb,0.0364583333333333,OA,0.171875,6.9921875,LHS,0.06111991692835915
34,0.84375,0.6979166666666666,0.7395833333333333,0.3854166666666666,Dy,0.1302083333333333,MeOH,0.484375,6.9140625,LHS,0.14148491938348273
35,0.15625,0.40625,0.4479166666666666,0.7395833333333333,Dy,0.0572916666666666,OA,0.0677083333333333,4.4140625,LHS,0.28764957742501907
