,Cr3O,Mn3O,Fe3O,Co3O,T1,rT1,T2,rT2,V_TOT
0,0.0,1.0,1.0,0.0,Yb,0.0,MeOH,0.3734972832384675,5.517233173440861
1,0.0,0.0,0.0,0.0,Yb,0.0,TMTACN,0.5,3.75
2,0.0,1.0,1.0,1.0,Yb,0.5,TMTACN,0.0,3.75
3,0.0,1.0,0.0,0.0,Ce,0.0,TMTACN,0.0,5.438361236972977
4,0.0,1.0,0.9698567355145015,0.0,Dy,0.21800180492344187,TMTACN,0.5,6.092754207859429
5,0.16208027523240082,0.5863430710239789,0.27308984254325497,0.0,Ce,0.03791505025808106,TMTACN,0.44031639410369394,3.9415503064331014
6,0.14664948896911223,0.89164924811174,0.00687585674918613,0.03978012725492985,MeOH,0.49088399197444643,SA,0.09705240182973929,3.9436083785044596
7,0.0,0.17217158692193113,0.26943001453983706,0.0943892317829441,Dy,0.060929332476383775,SA,0.4927915216225747,5.827389463450986
8,1.0,0.18474370674273574,0.005534471447311517,1.0,Ce,0.16650825812781941,TMTACN,0.5,5.921132774763786
9,0.5949919881203153,1.0,0.04258547966165018,0.0,Ce,0.4640600245836935,TMTACN,0.4608124477681203,5.738280016216319
10,0.0,0.41334041027516466,0.18897218614998104,0.16191304611080784,Yb,0.24822872536771606,TMTACN,0.4635971600469709,6.778605612616759
11,0.0,0.13727675793695163,0.999130341383754,0.952736799226295,Ce,0.015864936653863067,OA,0.28073214759686477,6.743448342723118
12,0.02883710386796679,0.21285961354940272,0.4361690849982614,0.0,Ce,0.2516460023253816,TMTACN,0.4608291383627048,6.265162719816313
13,0.21378615439235904,0.21257453490414496,0.28958044520555193,0.021192897031370526,MeOH,0.47670446087363766,OA,0.5,4.312067897811011
14,0.5662431495180645,0.4907087079441443,0.6410722798552728,0.02298956758184649,MeOH,0.07926509283295652,TMTACN,0.11463199125602805,5.987584867091521
15,0.4395103028957579,0.15802017663025972,0.7026749152174527,0.0350041629857918,Ce,0.49372980295929525,TMTACN,0.3521615143756115,6.781944044199534
16,0.7767115409423523,0.30144152086757825,0.5360332030683589,0.030754164781009553,Ce,0.39769683507494785,TMTACN,0.5,5.217699816637513
