,Cr3O,Mn3O 1,Mn3O 2,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
0,70.39439643964397,100.0,100.0,42.59859910991099,0.6389789866486648,5.969047619047623,0.23490979096035583,0.4369443888045103
1,84.88165680473372,100.0,100.0,46.22041420118343,0.6933062130177514,0.0,0.0,0.3466531065088757
2,72.49179542954296,100.0,100.0,43.12294885738574,0.646844232860786,0.0,0.0,0.323422116430393
3,82.82247765006386,100.0,100.0,45.705619412515965,0.6855842911877394,0.0,0.0,0.3427921455938697
4,100.0,100.0,100.0,50.0,0.75,4.166666666666666,0.16397771606726064,0.4569888580336303
5,100.0,100.0,100.0,50.0,0.75,4.690909090909091,0.18460909416154148,0.46730454708077074
6,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
7,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
8,100.0,100.0,100.0,50.0,0.75,25.409956709956713,1.0,0.875
9,54.96663072142203,100.0,100.0,38.74165768035551,0.5811248652053326,0.0,0.0,0.2905624326026663
10,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
11,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
12,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
13,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
14,85.295,100.0,100.0,46.323750000000004,0.6948562500000001,5.578210678210677,0.21952853922119805,0.4571923946105991
15,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
16,100.0,100.0,100.0,50.0,0.75,10.30238095238095,0.4054466156703067,0.5777233078351534
17,72.51712241816858,100.0,100.0,43.129280604542146,0.6469392090681322,0.0,0.0,0.3234696045340661
18,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
19,84.6727898966705,79.97798645726161,100.0,43.665445781325325,0.6549816867198798,0.0,0.0,0.3274908433599399
20,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
21,100.0,69.81469789856914,100.0,46.22683723732114,0.693402558559817,0.0,0.0,0.3467012792799085
22,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
23,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
24,100.0,100.0,100.0,50.0,0.75,0.9166666666666665,0.03607509753479734,0.39303754876739866
25,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
26,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
27,75.87606837606837,79.09807572371936,100.0,41.35627655948201,0.6203441483922302,0.0,0.0,0.3101720741961151
28,49.27112186218622,100.0,100.0,37.317780465546555,0.5597667069831983,0.0,0.0,0.27988335349159915
29,75.46486192978553,100.0,100.0,43.86621548244638,0.6579932322366956,0.0,0.0,0.3289966161183478
30,74.30007510917451,65.48149439069691,100.0,39.260205576130744,0.5889030836419611,0.0,0.0,0.29445154182098054
31,74.55332026093603,100.0,100.0,43.63833006523401,0.65457495097851,0.0,0.0,0.327287475489255
32,75.80690719071907,100.0,100.0,43.95172679767977,0.6592759019651965,11.835714285714282,0.4657904151830585,0.5625331585741276
33,56.796261876187614,100.0,100.0,39.1990654690469,0.5879859820357035,0.0,0.0,0.29399299101785176
34,74.06942869286928,100.0,100.0,43.51735717321732,0.6527603575982598,5.285714285714287,0.208017445525325,0.4303889015617924
35,100.0,100.0,100.0,50.0,0.75,0.5833333333333333,0.02295688024941649,0.3864784401247082
36,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
37,85.17643352236925,87.06729497354497,100.0,44.67752025228543,0.6701628037842814,0.0,0.0,0.3350814018921407
38,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
39,86.1271676300578,100.0,100.0,46.531791907514446,0.6979768786127166,0.0,0.0,0.3489884393063583
40,94.36374549819928,100.0,100.0,48.59093637454982,0.7288640456182472,8.123448773448777,0.3196954983502849,0.524279771984266
41,100.0,87.01372449783348,100.0,48.37671556222919,0.7256507334334378,0.0,0.0,0.3628253667167189
42,100.0,93.53252753492797,100.0,49.191565941865996,0.7378734891279899,0.0,0.0,0.36893674456399494
43,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
44,82.2289156626506,100.0,77.77256704791955,42.77879979665259,0.6416819969497889,0.0,0.0,0.32084099847489445
45,100.0,83.55877566220737,100.0,47.94484695777592,0.7191727043666388,0.0,0.0,0.3595863521833194
46,51.24872837283729,100.0,100.0,37.81218209320932,0.5671827313981398,1.2932900432900434,0.05089697940269519,0.3090398554004175
47,74.99933068306831,100.0,100.0,43.74983267076708,0.6562474900615061,0.0,0.0,0.32812374503075303
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
50,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
51,74.21732267074466,100.0,100.0,58.072440890248224,0.8710866133537233,0.0,0.0,0.43554330667686164
52,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
53,100.0,100.0,100.0,66.66666666666667,1.0,0.0,0.0,0.5
54,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
55,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
56,74.21233473347334,100.0,100.0,58.070778244491116,0.8710616736673666,2.421067821067821,0.09528028121823374,0.4831709774428002
57,0.0,100.0,100.0,50.0,0.75,4.904401154401154,0.1930109999943211,0.4715054999971605
58,91.567242281528,100.0,100.0,47.891810570382,0.7183771585557299,5.237734487734489,0.206129217279702,0.46225318791771597
