,Co3O(OH),Co3O,Co3O Degradation,Co4O4,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
0,18.2927619045244,100.0,31.749183930948846,80.59329349392591,54.92021578797491,0.31689125015304526,0.2656627963231737,0.012825845290989171,0.16485854772201722
1,25.489907029738475,100.0,46.71244957721774,87.5228075795627,62.12297979930335,0.4260370946868068,0.12773544589582325,0.00616689687043107,0.21610199577861894
2,43.92404383521875,100.0,27.941099923853237,79.81581855291847,62.570137450021285,0.43281302117149806,0.07014997581035318,0.003386747220019904,0.218099884195759
3,36.51038343168969,100.0,33.50989217827846,68.31616316299363,57.193830894607515,0.3513440852824257,0.25855957767722476,0.01248291137370034,0.18191349832806303
4,23.2573172779797,100.0,64.1828748001408,61.260753825720776,55.53650283459029,0.32623004982387427,0.7359225803987473,0.03552936012484683,0.18087970497436054
5,65.68507871653715,100.0,27.210253884420716,80.18907164673072,69.82642576849274,0.5427699370796681,0.1901113778078441,0.009178323625164313,0.27597413035241625
6,21.443854595513944,100.0,55.83227860737293,73.5710535071349,57.643682468778444,0.35816083367241947,0.11460009663618556,0.0055327397367303495,0.1818467867045749
7,22.977915189495935,100.0,61.40171890817889,66.37409282461154,56.68428915606563,0.3436228322619345,1.2305902985287,0.05941125744351923,0.20151704485272687
8,30.896169218176226,100.0,68.19452074745797,60.07507564098673,58.35616841096398,0.36895736674721763,0.42348977326779763,0.020445521124611666,0.19470144393591465
9,23.75104162862825,100.0,32.24256081007206,79.62825460689896,56.50019221352108,0.34083315093425176,0.011764705882352941,0.0005679843005096261,0.1707005676173807
10,21.677842480832417,100.0,30.769247563757734,72.11896560928786,53.06047729066638,0.2887100229767225,0.03970125786163522,0.0019167237499509197,0.14531337336333672
11,24.45995102718619,100.0,21.34495758569517,100.0,61.710809940011266,0.41979134967655213,0.07816279632317369,0.003773595501617005,0.21178247258908456
12,24.58799795145498,100.0,69.66221559052205,70.30673158811658,59.9086124449442,0.39248206017236276,0.3730345911949685,0.018009612264390323,0.20524583621837655
13,61.683771746694205,100.0,29.827677832676706,62.89110693051293,63.16290586451516,0.441795435299063,0.38750418108300033,0.01870818475514359,0.2302518100271033
14,87.1939050072074,100.0,38.86749325368565,100.0,85.54255054468342,0.7809215284406262,0.07415786827551533,0.003580242919879053,0.3922508856802526
15,65.53006735350185,100.0,20.965561433886293,100.0,75.33761602348166,0.6262828098908462,0.04957264957264958,0.0023933013688140657,0.31433805562983014
16,24.117288271203794,100.0,36.07306932102894,78.687280894881,56.94703460886641,0.3476043002509236,0.6341457023060796,0.030615708267367855,0.18911000425914573
17,54.39814079444834,100.0,32.813363341799636,58.47923908035023,59.76135384856613,0.3902506023818172,0.1398851334639527,0.006753467572988604,0.1985020349774029
18,23.377455828695524,100.0,29.63036933803858,67.54163652034187,51.91142567268556,0.2712980670858796,0.057329462989840346,0.002767789969464542,0.13703292852767207
19,70.8634879831607,100.0,29.057017496817863,66.33640957506614,67.24280210221191,0.5036194406077416,2.113965963743988,0.10205945573355436,0.30283944817064795
20,27.954501023921065,100.0,29.601308124786897,69.83433866810734,54.196497918140615,0.3059245159961295,0.05128205128205128,0.0024758290022214467,0.15420017249917548
21,63.576245452052476,100.0,24.970771512676485,71.13402986756105,65.73188702531725,0.48072404908483557,0.6087662337662337,0.02939042139406547,0.2550572352394505
