,Cr3O,Mn3O 1,Mn3O 2,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
0,24.30621912191219,100.0,100.0,31.076554780478048,0.5656805799605255,0.08231292517006802,0.006008371028175214,0.2858444754943503
1,51.37660743041675,100.0,100.0,37.84415185760419,0.6888698545300722,0.2158119658119658,0.01575303465693957,0.3523114445935059
2,59.426948701937334,100.0,100.0,39.856737175484334,0.7255045599496595,0.13247863247863248,0.009670179690398548,0.367587369820029
3,47.39615203965771,100.0,100.0,36.84903800991442,0.670755987582327,0.4676664605236034,0.03413696702496794,0.3524464773036475
4,56.34573304157549,100.0,100.0,39.086433260393875,0.7114828651861214,0.5087881562881562,0.03713861476073593,0.3743107399734287
5,47.399490949094904,100.0,100.0,36.84987273727373,0.6707711819647177,1.4767242545813977,0.10779239359430454,0.38928178777951117
6,52.0175291071708,100.0,100.0,38.0043822767927,0.6917864981893884,0.07596371882086167,0.00554491541167685,0.34866570680053266
7,31.27653440268778,100.0,100.0,32.81913360067195,0.5974004087702958,0.04897959183673469,0.003575229041558805,0.3004878189059273
8,38.87668216821683,100.0,100.0,34.71917054205421,0.6319864176293836,0.9800001453572882,0.07153438501677005,0.3517604013230768
9,53.7696602160216,100.0,100.0,38.4424150540054,0.6997599250124628,0.8843331271902701,0.06455124185767307,0.3821555834350679
10,78.67239467849225,100.0,100.0,44.66809866962306,0.8130848525409694,3.382478632478633,0.24690152338549845,0.5299931879632339
11,31.2118681697113,100.0,100.0,32.802967042427824,0.5971061320041581,0.42433312719027005,0.030973882442366613,0.31404000722326236
12,32.06550151753292,100.0,100.0,33.016375379383234,0.6009907631246316,0.08231292517006802,0.006008371028175214,0.3034995670764034
13,28.923111624616,100.0,100.0,32.230777906154,0.5866906826488191,0.29342403628117913,0.021418270276745803,0.30405447646278244
14,65.76533839342189,100.0,100.0,41.44133459835547,0.7543486836147703,4.051663204520347,0.2957481557564173,0.5250484196855938
15,33.89433793379338,100.0,100.0,33.47358448344835,0.6093132529558808,0.6743331271902699,0.049222447341989675,0.3292678501489352
16,36.5388396339634,100.0,100.0,34.13470990849085,0.6213475925571169,0.0,0.0,0.31067379627855846
17,44.51136263626363,100.0,100.0,36.12784065906591,0.6576281702108125,0.0,0.0,0.3288140851054063
18,31.516220122012196,100.0,100.0,32.879055030503054,0.5984911470911414,0.02040816326530612,0.0014896787673161686,0.2999904129292288
19,77.03488372093022,100.0,100.0,44.258720930232556,0.8056330278880376,0.0,0.0,0.4028165139440188
20,100.0,100.0,100.0,50.0,0.9101404321625122,0.0,0.0,0.4550702160812561
21,38.61501291967902,100.0,100.0,34.65375322991976,0.6307956388146444,0.2158119658119658,0.01575303465693957,0.323274336735792
22,31.130703984638856,100.0,100.0,32.78267599615971,0.5967367779717683,0.02040816326530612,0.0014896787673161686,0.29911322836954224
23,61.95589737346087,100.0,100.0,40.488974343365214,0.7370130521337457,0.2158119658119658,0.01575303465693957,0.3763830433953426
24,82.44916003536693,100.0,100.0,45.61229000884173,0.830271786811381,1.7968550497121927,0.13116010395955352,0.48071594538546725
25,55.08053067582384,100.0,100.0,38.77013266895596,0.7057253060464301,0.48574393860108145,0.03545651915264143,0.3705909125995358
26,32.79331634448008,100.0,100.0,33.19832908612002,0.6043028316302914,0.02040816326530612,0.0014896787673161686,0.3028962551988038
27,56.73885379632329,100.0,100.0,39.184713449080824,0.7132718406542125,0.48622012907727197,0.035491278323878814,0.3743815594890456
28,34.65839933993399,100.0,100.0,33.6645998349835,0.6127902688477983,0.0,0.0,0.30639513442389915
29,36.89871363311217,100.0,100.0,34.224678408278045,0.6229852719426635,0.38433312719027,0.02805411205842692,0.3255196920005452
30,49.92889576000252,100.0,100.0,37.48222394000063,0.6822817499032846,0.8843331271902701,0.06455124185767307,0.3734164958804788
31,77.08742632612967,100.0,100.0,44.27185658153242,0.8058721336350535,0.07596371882086167,0.00554491541167685,0.4057085245233652
32,36.87614486448645,100.0,100.0,34.21903621612161,0.6228825681985115,0.08761904761904762,0.006395687507677419,0.31463912785309445
33,42.09853310331033,100.0,100.0,35.52463327582758,0.6466481016415295,0.0,0.0,0.32332405082076476
34,33.56114186418642,100.0,100.0,33.390285466046606,0.6077969768819461,0.0,0.0,0.30389848844097306
35,60.78137762047372,100.0,100.0,40.19534440511843,0.7316681625559102,0.07596371882086167,0.00554491541167685,0.36860653898379353
36,59.125229708949476,100.0,100.0,39.781307427237365,0.7241315266763114,1.2176664605236036,0.08888266172383716,0.4065070942000743
37,52.471714314962384,100.0,100.0,38.117928578740596,0.6938533597958948,0.39812489098203385,0.029060831644964015,0.3614570957204294
38,42.33018157274077,100.0,100.0,35.58254539318519,0.6477022648319155,0.07596371882086167,0.00554491541167685,0.3266235901217962
39,37.420621671563495,100.0,100.0,34.35515541789087,0.6253603199809893,0.05555555555555555,0.004055236644360681,0.314707778312675
40,25.866206370637062,100.0,100.0,31.466551592659265,0.5727796173041377,0.508773039130182,0.03713751129498237,0.30495856429956003
41,34.87432666076238,100.0,100.0,33.7185816651906,0.6137728897732706,0.2558119658119658,0.018672805040879262,0.31622284740707496
42,36.57717754560578,100.0,100.0,34.14429438640144,0.6215220569744689,0.26955346241060524,0.019675855410872148,0.32059895619267054
43,47.54698975728476,100.0,100.0,36.88674743932119,0.6714424051098645,0.23786848072562358,0.017363033632385123,0.3444027193711248
44,52.23745039733858,100.0,100.0,38.05936259933465,0.6927872944797637,0.509236002093145,0.03717130493368538,0.36497929970672455
